model,bin,date,ret,std,nfirms
mlp-256-128-64-32,1,2000-01-28,-0.02260426127415891,0.12636887912224648,1397
mlp-256-128-64-32,1,2000-02-28,0.2490295968436155,0.4808085296016472,1394
mlp-256-128-64-32,1,2000-03-28,0.00969323249097473,0.19677996886967927,1385
mlp-256-128-64-32,1,2000-04-28,-0.16266146719538574,0.21711960861138124,1387
mlp-256-128-64-32,1,2000-05-28,-0.004936498561151079,0.1381364094727219,1390
mlp-256-128-64-32,1,2000-06-28,0.043758480894015864,0.20799328201385803,1387
mlp-256-128-64-32,1,2000-07-28,0.002673795180722891,0.14418038055937174,1411
mlp-256-128-64-32,1,2000-08-28,0.04541069703543022,0.16791771042853565,1383
mlp-256-128-64-32,1,2000-09-28,-0.0016643532804614268,0.15010487964641392,1387
mlp-256-128-64-32,1,2000-10-28,-0.055770271604938276,0.1750303724472722,1377
mlp-256-128-64-32,1,2000-11-28,-0.05493038039502561,0.17525100065342827,1367
mlp-256-128-64-32,1,2000-12-28,-0.1408264224519941,0.31011194598227537,1354
mlp-256-128-64-32,1,2001-01-28,0.5454196167039522,0.7177463598545908,1341
mlp-256-128-64-32,1,2001-02-28,-0.2373906676691729,0.22810922916296517,1330
mlp-256-128-64-32,1,2001-03-28,-0.1669682814871017,0.26965524502393906,1318
mlp-256-128-64-32,1,2001-04-28,0.07647605986185725,0.3613143586656376,1303
mlp-256-128-64-32,1,2001-05-28,0.0621220947940948,0.28725345307312533,1287
mlp-256-128-64-32,1,2001-06-28,-0.02258311381475667,0.26216113458186246,1274
mlp-256-128-64-32,1,2001-07-28,-0.07638755186064926,0.2408941793348695,1263
mlp-256-128-64-32,1,2001-08-28,-0.07582874879614766,0.2686036823893462,1246
mlp-256-128-64-32,1,2001-09-28,-0.20479996612903226,0.20348947480201088,1240
mlp-256-128-64-32,1,2001-10-28,0.10138231737012987,0.3447902133782431,1232
mlp-256-128-64-32,1,2001-11-28,0.08008541679506934,0.27160297506258607,1298
mlp-256-128-64-32,1,2001-12-28,0.06467916551724139,0.2347183061268355,1305
mlp-256-128-64-32,1,2002-01-28,-0.016961053244592347,0.22242619116741352,1202
mlp-256-128-64-32,1,2002-02-28,-0.04155431715481172,0.17282867032006577,1195
mlp-256-128-64-32,1,2002-03-28,0.05486448188711036,0.24363641299029534,1187
mlp-256-128-64-32,1,2002-04-28,-0.04195368197278912,0.20544237327112538,1176
mlp-256-128-64-32,1,2002-05-28,-0.06939163986313088,0.23775825944283643,1169
mlp-256-128-64-32,1,2002-06-28,-0.1446901203783319,0.21812843665990603,1163
mlp-256-128-64-32,1,2002-07-28,-0.1479149110535406,0.21254957756022486,1158
mlp-256-128-64-32,1,2002-08-28,-0.005824006097560977,0.2706629806592099,1148
mlp-256-128-64-32,1,2002-09-28,-0.12523199562171627,0.20632669916424995,1142
mlp-256-128-64-32,1,2002-10-28,0.03542716194690266,0.2472249089770232,1130
mlp-256-128-64-32,1,2002-11-28,0.23400776355555555,0.3894957194764161,1125
mlp-256-128-64-32,1,2002-12-28,-0.06007325849731663,0.21438952645682893,1118
mlp-256-128-64-32,1,2003-01-28,0.0038534545454545458,0.2524736302934839,1111
mlp-256-128-64-32,1,2003-02-28,-0.046769099547511316,0.18619177500346076,1105
mlp-256-128-64-32,1,2003-03-28,0.014193762340036564,0.24443013187796503,1094
mlp-256-128-64-32,1,2003-04-28,0.1513481849126035,0.296424640395647,1087
mlp-256-128-64-32,1,2003-05-28,0.2751222455977757,0.35757417795060603,1079
mlp-256-128-64-32,1,2003-06-28,0.04993398881640261,0.22599246311221527,1073
mlp-256-128-64-32,1,2003-07-28,0.09917983928571429,0.24078612538937097,1064
mlp-256-128-64-32,1,2003-08-28,0.06873247780925401,0.20184831619253144,1059
mlp-256-128-64-32,1,2003-09-28,0.03248340909090909,0.21098675939065453,1056
mlp-256-128-64-32,1,2003-10-28,0.10267657794676806,0.2174682903774181,1052
mlp-256-128-64-32,1,2003-11-28,0.029772820610687024,0.17829887358386837,1048
mlp-256-128-64-32,1,2003-12-28,0.017859577586206897,0.17946131610089688,1044
mlp-256-128-64-32,1,2004-01-28,0.07877793096836051,0.19829841015200517,1043
mlp-256-128-64-32,1,2004-02-28,0.0015742201834862384,0.12751391803618753,1090
mlp-256-128-64-32,1,2004-03-28,-0.013147264621284757,0.16633274809691898,1043
mlp-256-128-64-32,1,2004-04-28,-0.05622678482228626,0.1646894717255192,1041
mlp-256-128-64-32,1,2004-05-28,0.0019454375000000003,0.15580264001455568,1040
mlp-256-128-64-32,1,2004-06-28,0.015399799421407907,0.13140890653477913,1037
mlp-256-128-64-32,1,2004-07-28,-0.12014085106382978,0.14089818725543424,1034
mlp-256-128-64-32,1,2004-08-28,-0.023913017374517377,0.14001562581233915,1036
mlp-256-128-64-32,1,2004-09-28,0.053859211946050096,0.17921515523177087,1038
mlp-256-128-64-32,1,2004-10-28,0.01741728736740598,0.1382800026203491,1037
mlp-256-128-64-32,1,2004-11-28,0.10440980966183576,0.263723032289731,1035
mlp-256-128-64-32,1,2004-12-28,0.04915443815915628,0.16433190276587603,1043
mlp-256-128-64-32,1,2005-01-28,-0.05094966924564797,0.1349118650501564,1034
mlp-256-128-64-32,1,2005-02-28,-0.0068236038647343,0.1510640807386378,1035
mlp-256-128-64-32,1,2005-03-28,-0.05468213249516441,0.17625738943349242,1034
mlp-256-128-64-32,1,2005-04-28,-0.08036358220502901,0.13717158633809234,1034
mlp-256-128-64-32,1,2005-05-28,0.0417726359223301,0.1530276758502041,1030
mlp-256-128-64-32,1,2005-06-28,0.03680097090203686,0.15545727804498094,1031
mlp-256-128-64-32,1,2005-07-28,0.07489096206225682,0.15884039151515278,1028
mlp-256-128-64-32,1,2005-08-28,-0.017056781888997077,0.13278892295095548,1027
mlp-256-128-64-32,1,2005-09-28,-0.0007286475728155338,0.15150776803255048,1030
mlp-256-128-64-32,1,2005-10-28,-0.041009967836257315,0.1456595836077542,1026
mlp-256-128-64-32,1,2005-11-28,0.041418241715399616,0.1761925646164531,1026
mlp-256-128-64-32,1,2005-12-28,0.00010163734115347063,0.08801166057765558,1023
mlp-256-128-64-32,1,2006-01-28,0.08391135847208618,0.16699092230212553,1021
mlp-256-128-64-32,1,2006-02-28,-0.0004291330724070446,0.1041760774541992,1022
mlp-256-128-64-32,1,2006-03-28,0.04256826078431373,0.15980080371937694,1020
mlp-256-128-64-32,1,2006-04-28,-0.004077615309126595,0.15195073109123333,1019
mlp-256-128-64-32,1,2006-05-28,-0.08165229400196658,0.1369839600568957,1017
mlp-256-128-64-32,1,2006-06-28,-0.03306281612586037,0.1517590313766095,1017
mlp-256-128-64-32,1,2006-07-28,-0.058329462671905696,0.13193360898516956,1018
mlp-256-128-64-32,1,2006-08-28,0.025845383709519134,0.1829531775222077,1019
mlp-256-128-64-32,1,2006-09-28,-0.0017764115913555996,0.13240949403583752,1018
mlp-256-128-64-32,1,2006-10-28,0.061571039447731755,0.18306649510504597,1014
mlp-256-128-64-32,1,2006-11-28,0.029018407114624507,0.17004502088899784,1012
mlp-256-128-64-32,1,2006-12-28,-0.0019911574257425744,0.16815789660857322,1010
mlp-256-128-64-32,1,2007-01-28,0.03132331547619047,0.1623643477671582,1008
mlp-256-128-64-32,1,2007-02-28,0.00018838430983118216,0.12869421502837516,1007
mlp-256-128-64-32,1,2007-03-28,-0.007579426865671642,0.16429279096304317,1005
mlp-256-128-64-32,1,2007-04-28,0.03450121236291127,0.16963489601925916,1003
mlp-256-128-64-32,1,2007-05-28,0.01932243512974052,0.17051073441526046,1002
mlp-256-128-64-32,1,2007-06-28,-0.007196169830169831,0.13622659855950722,1001
mlp-256-128-64-32,1,2007-07-28,-0.04832375972083749,0.1592879212576457,1003
mlp-256-128-64-32,1,2007-08-28,-0.02291535964035964,0.2062145789446919,1001
mlp-256-128-64-32,1,2007-09-28,0.024378061876247505,0.16484220043710657,1002
mlp-256-128-64-32,1,2007-10-28,0.012876321643286573,0.19067285008374138,998
mlp-256-128-64-32,1,2007-11-28,-0.10419322535211267,0.1479937010965443,994
mlp-256-128-64-32,1,2007-12-28,-0.018864328298086607,0.18076958793953593,993
mlp-256-128-64-32,1,2008-01-28,-0.04334237386934673,0.20445549234791008,995
mlp-256-128-64-32,1,2008-02-28,-0.036196943661971834,0.18409582296844726,994
mlp-256-128-64-32,1,2008-03-28,-0.05727596969696969,0.18050360268893142,990
mlp-256-128-64-32,1,2008-04-28,0.006485091093117409,0.19618494086462526,988
